#E (eV)                 PP(111)H	            PS(111)H
3.305194576786140e+0    7.415416240000000e-1	3.337536160000000e-1
3.299968800703097e+0    7.008933420000000e-1	3.132196960000000e-1
3.294759514515441e+0    6.646384600000001e-1	2.911588250000000e-1
3.289566649023960e+0    6.126710770000000e-1	2.686025500000000e-1
3.284390126708930e+0    5.567014810000001e-1	2.468973550000000e-1
3.279229870537805e+0    5.118544100000000e-1	2.279202790000000e-1
3.274085803961398e+0    4.560158850000000e-1	2.062792630000000e-1
3.268957850910095e+0    4.039112930000000e-1	1.875878870000000e-1
3.263845935790104e+0    3.615591530000000e-1	1.742276550000000e-1
3.258749983479742e+0    3.384758230000000e-1	1.654244510000000e-1
3.253669919325755e+0    3.070774670000000e-1	1.527798770000000e-1
3.248605669139671e+0    2.724854950000000e-1	1.383157670000000e-1
3.243557159194193e+0    2.397271100000000e-1	1.250415740000000e-1
3.238524316219614e+0    2.086010130000000e-1	1.145112510000000e-1
3.233507075833738e+0    1.834370050000000e-1	1.056193710000000e-1
3.228505348778454e+0    1.600649950000000e-1	1.015426140000000e-1
3.223519071595355e+0    1.376182440000000e-1	9.926869720000000e-2
3.218548172809990e+0    1.226803510000000e-1	9.853595500000000e-2
3.213592581388104e+0    1.116413700000000e-1	9.928376230000000e-2
3.208652226732258e+0    1.046846510000000e-1	1.006315200000000e-1
3.203727038678470e+0    9.884089230000000e-2	1.031385730000000e-1
3.198816947492896e+0    9.599536660000000e-2	1.059016290000000e-1
3.193921883868543e+0    9.333879500000000e-2	1.098295080000000e-1
3.189041778922000e+0    9.209869800000000e-2	1.130618230000000e-1
3.184176564190214e+0    9.118847550000000e-2	1.157648120000000e-1
3.179326171627285e+0    9.136869010000000e-2	1.132707890000000e-1
3.174490533601294e+0    8.936125790000000e-2	1.070670190000000e-1
3.169669590994913e+0    8.577703680000000e-2	9.460517760000000e-2
3.164863260762719e+0    7.776822150000000e-2	7.989610730000000e-2
3.160071484624413e+0    6.559138000000001e-2	7.386618850000000e-2
3.155294196572850e+0    5.626738440000000e-2	8.007274570000000e-2
3.150531330999431e+0    5.501711740000000e-2	9.325825420000000e-2
3.145782822691103e+0    5.774419010000000e-2	1.082628890000000e-1
3.141048606827376e+0    6.317030640000000e-2	1.177603530000000e-1
3.136328618977383e+0    6.889411810000000e-2	1.186631550000000e-1
3.131622795096945e+0    7.156743850000000e-2	1.143899630000000e-1
3.126931071525688e+0    7.241901760000000e-2	1.094179750000000e-1
3.122253384984159e+0    7.246722280000000e-2	1.050107550000000e-1
3.117589672570992e+0    7.353872060000000e-2	9.805130960000000e-2
3.112939879576352e+0    6.912453470000000e-2	8.730940520000000e-2
3.108303928190796e+0    6.271207330000001e-2	7.656244930000000e-2
3.103681764470025e+0    5.678482730000000e-2	6.766982380000000e-2
3.099073326997054e+0    4.915483300000000e-2	6.369711459999999e-2
3.094478554719134e+0    4.325445000000000e-2	6.292840840000000e-2
3.089897386945054e+0    3.755976630000000e-2	6.382343170000000e-2
3.085329763342466e+0    3.168015180000000e-2	6.590621169999999e-2
3.080775623935242e+0    2.665697040000000e-2	6.819728020000000e-2
3.076234909100846e+0    2.602779490000000e-2	7.099537550000000e-2
3.071707559567731e+0    2.609373070000000e-2	7.382521030000000e-2
3.067193516412762e+0    2.502436940000000e-2	7.498885690000000e-2
3.062692721058657e+0    2.457579230000000e-2	7.491330800000000e-2
3.058205115271458e+0    2.527070420000000e-2	7.493343950000000e-2
3.053730648679779e+0    2.441536260000000e-2	7.736448200000000e-2
3.049269248663300e+0    2.304215360000000e-2	8.079176400000000e-2
3.044820865546866e+0    2.289939300000000e-2	8.419180660000000e-2
3.040385442444903e+0    2.361076700000000e-2	8.585397900000000e-2
3.035962922802821e+0    2.356571700000000e-2	8.204924320000000e-2
3.031553250394606e+0    2.414465700000000e-2	7.583606240000000e-2
3.027156369320439e+0    2.466562390000000e-2	7.056886799999999e-2
3.022772224004334e+0    2.462273840000000e-2	6.870081280000000e-2
3.018400759191794e+0    2.376631090000000e-2	6.949956720000000e-2
3.014041919947494e+0    2.228853290000000e-2	7.130437339999999e-2
3.009695651652976e+0    2.183228540000000e-2	7.339674980000000e-2
3.005361900004370e+0    2.134797720000000e-2	7.732737060000000e-2
3.001040611010130e+0    2.087971200000000e-2	8.048846570000000e-2
2.996731738232386e+0    2.155525420000000e-2	8.257116380000000e-2
2.992435213789597e+0    2.273263600000000e-2	8.017285170000000e-2
2.988150991878256e+0    2.323388680000000e-2	7.262445240000000e-2
2.983879019733887e+0    2.356204950000000e-2	6.350473310000000e-2
2.979619244893324e+0    2.457588350000000e-2	5.429275710000000e-2
2.975371615192555e+0    2.344821390000000e-2	4.749668020000000e-2
2.971136078764598e+0    2.243316550000000e-2	4.410641270000000e-2
2.966912584037388e+0    2.123459800000000e-2	4.396816340000000e-2
2.962701079731686e+0    1.836600710000000e-2	4.582059010000000e-2
2.958501514858999e+0    1.608659510000000e-2	4.876536880000000e-2
2.954313838719527e+0    1.508578750000000e-2	5.217496680000000e-2
2.950138000900121e+0    1.416915280000000e-2	5.615599080000000e-2
2.945973951272260e+0    1.431483590000000e-2	6.051347780000000e-2
2.941821646970612e+0    1.490877200000000e-2	6.461755930000000e-2
2.937681024449136e+0    1.563794540000000e-2	6.750305099999999e-2
2.933552041421513e+0    1.739230750000000e-2	6.792090090000000e-2
2.929434648877844e+0    1.992371120000000e-2	6.274271760000000e-2
2.925328798082993e+0    2.314654370000000e-2	5.517253280000000e-2
2.921234440574668e+0    2.603547460000000e-2	4.796788470000000e-2
2.917151528161514e+0    2.745263840000000e-2	4.342950140000000e-2
2.913080012921221e+0    2.625073870000000e-2	4.129819570000000e-2
2.909019847198652e+0    2.309080210000000e-2	4.129728670000000e-2
2.904970983603979e+0    1.953072470000000e-2	4.207741470000000e-2
2.900933375010842e+0    1.765805110000000e-2	4.327513650000000e-2
2.896906974554522e+0    1.641767290000000e-2	4.443458100000000e-2
2.892891735630126e+0    1.518545770000000e-2	4.569017140000000e-2
2.888887618622405e+0    1.385239880000000e-2	4.640853030000000e-2
2.884894563958907e+0    1.301205440000000e-2	4.740382730000000e-2
2.880912532553776e+0    1.328703760000000e-2	4.795336720000000e-2
2.876941478823592e+0    1.348894370000000e-2	4.842520130000000e-2
2.872981357435914e+0    1.339411270000000e-2	4.838678610000000e-2
2.869032123307560e+0    1.379828250000000e-2	4.806293920000000e-2
2.865093731602897e+0    1.465293390000000e-2	4.836292940000000e-2
2.861166137732140e+0    1.547392740000000e-2	4.857685420000000e-2
2.857249297349673e+0    1.587605660000000e-2	4.863344130000000e-2
2.853343166352379e+0    1.619941550000000e-2	4.913676530000000e-2
